ID,Название,Категория,Сложность (1-4),"Время удержания, сек","Полный цикл, сек",Фокус (группы мышц)
pose-1,Eagle Pose,balancing,4,15,20,"плечи, верхняя часть спины, ноги"
pose-2,Bridge Pose,cooldown,2,45,50,"ягодицы, задняя поверхность бедра, поясница, грудь"
pose-3,Cobra Pose,cooldown,2,45,50,"разгибатели спины, грудь, плечи"
pose-4,Bow Pose,mid,3,30,35,"спина, ягодицы, задняя поверхность бедра, грудь"
pose-5,Upward-Facing Dog,mid,3,30,35,"спина, грудь, плечи, руки"
pose-6,Happy Baby Pose,cooldown,1,60,65,"мышцы таза, внутренняя поверхность бедра, поясница"
pose-7,Pigeon Pose,mid,3,30,35,"ягодицы, глубокие мышцы таза, сгибатели бедра"
pose-8,Camel Pose,mid,3,30,35,"спина, ягодицы, плечи, грудь"
pose-9,Shoulderstand,cooldown,4,15,20,"мышцы корпуса, плечи, верхняя часть спины"
pose-10,Plow Pose,cooldown,4,15,20,"корпус, плечи, верхняя часть спины"
pose-11,Fish Pose,mid,3,30,35,"грудь, плечи, верхняя часть спины"
pose-12,Half Moon Pose,balancing,4,15,20,"ягодицы, квадрицепсы, икры, мышцы корпуса"
pose-13,Supine Twist,cooldown,2,45,50,"косые мышцы живота, мышцы корпуса, спина"
pose-14,Wind-Relieving Pose,cooldown,1,60,65,"мышцы живота, сгибатели бедра"
pose-15,Corpse Pose,cooldown,1,60,65,мышечной нагрузки практически нет — расслабление
